Feature,Importance
CLASS,0.19723451075135168
SUSP,0.10567483693992664
LD,0.07500781224299638
FS,0.06827228552521637
ASTV,0.057541426439539856
Mean,0.044443514113628776
ALTV,0.04298777552687958
Median,0.04241137452385989
E,0.04046558344575919
AC,0.03426410964732947
Mode,0.02905127586344241
MSTV,0.02701684247520695
AC.1,0.025454556866709863
DP.1,0.02270033467023579
DP,0.019178719083738454
Variance,0.017213991882195367
MLTV,0.015800902427748516
A,0.01553362838686866
LB,0.012512921956981954
Width,0.011878166356050905
Min,0.010355842232925056
DL.1,0.009422021380500053
Max,0.009174871335168725
UC.1,0.008754332917790342
B,0.008472620508664114
UC,0.008372921242033276
e,0.007921106078577723
Nmax,0.006282768620310916
DL,0.005863324666896868
DE,0.005010172466649659
b,0.004369245898168179
FM.1,0.003920501518259753
AD,0.003218426230777689
FM,0.002474271597639129
Tendency,0.0009811172601175
Nzeros,0.00036180370996058024
D,0.0002186403283432902
C,0.00010171831748962868
DS,7.972456406091145e-05
DR,0.0
DS.1,0.0
