Feature,Importance
LD,0.18003124
SUSP,0.1703799
FS,0.14307256
CLASS,0.113857634
E,0.093639635
A,0.04623188
B,0.031884044
MSTV,0.020734027
ASTV,0.020209257
DE,0.018359974
AC,0.017556945
DP,0.0130882235
DP.1,0.0127390195
ALTV,0.010478319
AD,0.010211339
LB,0.009620962
C,0.008333841
DL,0.007838125
Max,0.0069889007
Nmax,0.005591552
Mean,0.005096825
AC.1,0.0050927894
Mode,0.004857981
Median,0.004840998
DL.1,0.0044310335
Width,0.0043139323
FM,0.004073551
e,0.0040199356
Variance,0.003798129
UC.1,0.00287403
UC,0.0027870412
FM.1,0.0026552037
Min,0.0024585505
b,0.002341208
MLTV,0.0023085005
Nzeros,0.0016530851
Tendency,0.0015498257
DR,0.0
DS,0.0
DS.1,0.0
D,0.0
